feature,psi,drift
medical_specialty,0.0076,none
diag_3_group,0.0017,none
rosiglitazone,0.0012,none
discharge_disposition_id,0.0012,none
num_lab_procedures,0.0011,none
diag_1_group,0.0008,none
admission_source_id,0.0008,none
num_med_changes,0.0006,none
insulin,0.0006,none
number_diagnoses,0.0005,none
pioglitazone,0.0005,none
time_in_hospital,0.0005,none
diag_2_group,0.0004,none
glyburide,0.0004,none
admission_type_id,0.0004,none
change,0.0004,none
race,0.0003,none
num_procedures,0.0003,none
diabetesMed,0.0002,none
glimepiride,0.0002,none
age,0.0002,none
max_glu_serum,0.0002,none
glipizide,0.0002,none
gender,0.0001,none
metformin,0.0001,none
A1Cresult,0.0001,none
repaglinide,0.0001,none
num_medications,0.0001,none
number_emergency,0.0,none
number_inpatient,0.0,none
number_outpatient,0.0,none
total_prior_visits,0.0,none
